event_id,product_id,store_id,category,current_stock,shelf_capacity,sales_last_10min,replenishment_pending,timestamp
EVT135434,P018,S02,dairy,11,40,9,1,2026-06-08T15:52:01.226083
EVT255173,P019,S01,beverages,2,60,15,1,2026-06-08T15:52:01.226092
EVT454226,P013,S01,snacks,19,50,13,0,2026-06-08T15:52:01.226099
EVT921623,P012,S03,dairy,8,40,1,0,2026-06-08T15:52:01.226103
EVT948942,P009,S02,beverages,49,60,1,0,2026-06-08T15:52:01.226106
EVT915131,P017,S03,beverages,41,60,6,0,2026-06-08T15:52:01.226109
EVT835496,P019,S04,dairy,7,40,8,1,2026-06-08T15:52:01.226112
EVT417074,P006,S02,snacks,25,50,1,0,2026-06-08T15:52:01.226117
EVT271164,P015,S04,dairy,33,40,4,0,2026-06-08T15:52:01.226121
EVT601226,P019,S02,bakery,4,35,15,0,2026-06-08T15:52:01.226124
EVT574560,P019,S04,frozen,8,45,17,0,2026-06-08T15:52:01.226127
EVT766289,P018,S01,dairy,32,40,6,0,2026-06-08T15:52:01.226130
EVT773323,P016,S01,bakery,8,35,17,0,2026-06-08T15:52:01.226132
EVT717201,P020,S01,bakery,7,35,11,0,2026-06-08T15:52:01.226135
EVT551311,P009,S01,household,21,30,0,0,2026-06-08T15:52:01.226138
EVT702382,P012,S01,frozen,44,45,5,0,2026-06-08T15:52:01.226140
EVT361704,P011,S01,bakery,33,35,3,0,2026-06-08T15:52:01.226144
EVT670873,P002,S02,bakery,0,35,11,0,2026-06-08T15:52:01.226147
EVT156640,P015,S02,snacks,11,50,6,1,2026-06-08T15:52:01.226150
EVT730675,P015,S02,bakery,11,35,13,0,2026-06-08T15:52:01.226153
EVT957564,P017,S03,bakery,1,35,11,0,2026-06-08T15:52:01.226155
EVT416439,P020,S02,household,9,30,8,1,2026-06-08T15:52:01.226158
EVT375241,P013,S03,bakery,14,35,10,0,2026-06-08T15:52:01.226161
EVT897896,P006,S04,bakery,34,35,1,0,2026-06-08T15:52:01.226164
EVT763460,P002,S02,frozen,23,45,3,0,2026-06-08T15:52:01.226166
EVT878766,P018,S03,frozen,16,45,6,0,2026-06-08T15:52:01.226169
EVT107084,P013,S02,snacks,5,50,7,1,2026-06-08T15:52:01.226172
EVT734301,P013,S04,bakery,4,35,12,0,2026-06-08T15:52:01.226175
EVT305922,P015,S04,bakery,9,35,7,1,2026-06-08T15:52:01.226177
EVT366381,P014,S01,dairy,6,40,12,0,2026-06-08T15:52:01.226180
EVT131068,P015,S02,frozen,22,45,6,0,2026-06-08T15:52:01.226183
EVT485849,P013,S02,dairy,0,40,17,0,2026-06-08T15:52:01.226186
EVT724077,P013,S03,household,8,30,12,0,2026-06-08T15:52:01.226188
