event_id,product_id,store_id,category,timestamp,current_stock,shelf_capacity,sales_last_10min,stock_ratio,replenishment_pending,category_encoded,store_encoded,stockout_label
EVT798200,P006,S01,bakery,2026-06-08T15:55:20.717616,1,35,8,0.0286,1,1,0,0
EVT679472,P012,S04,household,2026-06-08T15:55:21.220651,14,30,5,0.4667,1,5,3,0
EVT251606,P018,S04,dairy,2026-06-08T15:55:21.723255,39,40,2,0.975,0,0,3,0
EVT505732,P011,S01,snacks,2026-06-08T15:55:22.226496,30,50,6,0.6,0,3,0,0
EVT822814,P004,S01,beverages,2026-06-08T15:55:22.729296,7,60,4,0.1167,0,2,0,1
EVT878328,P013,S04,snacks,2026-06-08T15:55:23.232538,23,50,2,0.46,0,3,3,0
EVT853887,P002,S03,snacks,2026-06-08T15:55:23.735295,4,50,11,0.08,1,3,2,0
EVT704149,P019,S01,beverages,2026-06-08T15:55:24.236882,27,60,4,0.45,0,2,0,0
EVT834133,P001,S02,frozen,2026-06-08T15:55:24.737566,31,45,0,0.6889,0,4,1,1
EVT540474,P011,S03,household,2026-06-08T15:55:25.240248,17,30,6,0.5667,0,5,2,1
EVT357320,P019,S03,beverages,2026-06-08T15:55:25.741826,54,60,5,0.9,0,2,2,0
EVT825835,P001,S04,dairy,2026-06-08T15:55:26.245561,16,40,7,0.4,0,0,3,0
EVT725084,P010,S03,dairy,2026-06-08T15:55:26.748678,34,40,2,0.85,0,0,2,0
EVT841161,P003,S04,beverages,2026-06-08T15:55:27.251728,6,60,14,0.1,1,2,3,0
EVT277857,P005,S03,bakery,2026-06-08T15:55:27.753508,15,35,2,0.4286,0,1,2,1
EVT739958,P019,S02,frozen,2026-06-08T15:55:28.256554,17,45,16,0.3778,0,4,1,1
EVT703158,P013,S02,bakery,2026-06-08T15:55:28.760238,6,35,17,0.1714,0,1,1,1
EVT879571,P009,S03,frozen,2026-06-08T15:55:29.261828,2,45,12,0.0444,0,4,2,1
EVT781189,P013,S03,frozen,2026-06-08T15:55:29.764356,6,45,3,0.1333,0,4,2,0
EVT766125,P016,S04,snacks,2026-06-08T15:55:30.265340,23,50,4,0.46,0,3,3,0
EVT898727,P019,S04,bakery,2026-06-08T15:55:30.766935,0,35,13,0.0,0,1,3,1
EVT780209,P009,S02,beverages,2026-06-08T15:55:31.272647,38,60,1,0.6333,0,2,1,1
EVT392492,P015,S04,beverages,2026-06-08T15:55:31.775574,34,60,0,0.5667,0,2,3,0
EVT572598,P003,S04,dairy,2026-06-08T15:55:32.277743,3,40,10,0.075,0,0,3,0
EVT250134,P020,S01,beverages,2026-06-08T15:55:32.781443,0,60,5,0.0,0,2,0,0
EVT193938,P014,S01,frozen,2026-06-08T15:55:33.285096,22,45,0,0.4889,0,4,0,1
EVT853210,P011,S04,dairy,2026-06-08T15:55:33.788484,2,40,14,0.05,1,0,3,1
EVT363337,P005,S04,snacks,2026-06-08T15:55:34.289791,7,50,3,0.14,0,3,3,1
EVT357782,P020,S04,snacks,2026-06-08T15:55:34.794113,33,50,3,0.66,0,3,3,1
EVT773833,P020,S03,snacks,2026-06-08T15:55:35.297332,7,50,14,0.14,1,3,2,0
EVT540125,P002,S03,dairy,2026-06-08T15:55:35.799483,32,40,1,0.8,0,0,2,0
EVT928539,P019,S01,beverages,2026-06-08T15:55:36.307256,31,60,3,0.5167,0,2,0,0
EVT429288,P016,S04,beverages,2026-06-08T15:55:36.808564,36,60,3,0.6,1,2,3,0
EVT849183,P014,S03,bakery,2026-06-08T15:55:37.310124,15,35,2,0.4286,0,1,2,1
EVT315278,P012,S04,household,2026-06-08T15:55:37.815824,7,30,0,0.2333,0,5,3,1
EVT352878,P001,S02,frozen,2026-06-08T15:55:38.321781,13,45,13,0.2889,0,4,1,1
EVT574851,P011,S03,bakery,2026-06-08T15:55:38.825753,20,35,6,0.5714,0,1,2,1
EVT362974,P019,S03,dairy,2026-06-08T15:55:39.330425,0,40,5,0.0,0,0,2,1
EVT708625,P008,S02,bakery,2026-06-08T15:55:39.834853,0,35,13,0.0,1,1,1,1
EVT232665,P009,S02,bakery,2026-06-08T15:55:40.336374,10,35,4,0.2857,0,1,1,0
EVT137545,P009,S01,bakery,2026-06-08T15:55:40.837714,2,35,17,0.0571,0,1,0,1
EVT592762,P018,S01,dairy,2026-06-08T15:55:41.339917,38,40,1,0.95,0,0,0,0
EVT170892,P006,S03,dairy,2026-06-08T15:55:41.842060,7,40,16,0.175,0,0,2,1
EVT754593,P020,S01,frozen,2026-06-08T15:55:42.344504,26,45,5,0.5778,0,4,0,1
EVT657427,P012,S04,beverages,2026-06-08T15:55:42.848950,5,60,15,0.0833,0,2,3,1
EVT293231,P003,S02,beverages,2026-06-08T15:55:43.352617,34,60,1,0.5667,0,2,1,0
EVT487120,P005,S04,snacks,2026-06-08T15:55:43.858109,6,50,2,0.12,0,3,3,1
EVT480080,P013,S02,beverages,2026-06-08T15:55:44.359467,1,60,4,0.0167,0,2,1,1
EVT311676,P017,S01,snacks,2026-06-08T15:55:44.862557,1,50,10,0.02,1,3,0,0
EVT606030,P001,S02,snacks,2026-06-08T15:55:45.364600,3,50,14,0.06,0,3,1,1
EVT546821,P010,S03,dairy,2026-06-08T15:55:45.866367,38,40,4,0.95,0,0,2,1
EVT997117,P001,S03,frozen,2026-06-08T15:55:46.367618,27,45,6,0.6,0,4,2,1
EVT491144,P001,S03,frozen,2026-06-08T15:55:46.870512,0,45,16,0.0,0,4,2,1
EVT276249,P014,S02,bakery,2026-06-08T15:55:47.377984,26,35,6,0.7429,0,1,1,0
