event_id,product_id,store_id,category,current_stock,shelf_capacity,sales_last_10min,replenishment_pending,timestamp,stockout_risk,label_probability
EVT135434,P018,S02,dairy,11,40,9,1,2026-06-08T15:52:01.226083,0,0.5012
EVT255173,P019,S01,beverages,2,60,15,1,2026-06-08T15:52:01.226092,1,0.7267
EVT454226,P013,S01,snacks,19,50,13,0,2026-06-08T15:52:01.226099,0,0.7318
EVT921623,P012,S03,dairy,8,40,1,0,2026-06-08T15:52:01.226103,0,0.5794
EVT948942,P009,S02,beverages,49,60,1,0,2026-06-08T15:52:01.226106,1,0.3019
EVT915131,P017,S03,beverages,41,60,6,0,2026-06-08T15:52:01.226109,0,0.4592
EVT835496,P019,S04,dairy,7,40,8,1,2026-06-08T15:52:01.226112,0,0.5268
EVT417074,P006,S02,snacks,25,50,1,0,2026-06-08T15:52:01.226117,0,0.4444
EVT271164,P015,S04,dairy,33,40,4,0,2026-06-08T15:52:01.226121,1,0.3565
EVT601226,P019,S02,bakery,4,35,15,0,2026-06-08T15:52:01.226124,1,0.8902
EVT574560,P019,S04,frozen,8,45,17,0,2026-06-08T15:52:01.226127,1,0.9006
EVT766289,P018,S01,dairy,32,40,6,0,2026-06-08T15:52:01.226130,0,0.4067
EVT773323,P016,S01,bakery,8,35,17,0,2026-06-08T15:52:01.226132,1,0.8777
EVT717201,P020,S01,bakery,7,35,11,0,2026-06-08T15:52:01.226135,0,0.7739
EVT551311,P009,S01,household,21,30,0,0,2026-06-08T15:52:01.226138,0,0.335
EVT702382,P012,S01,frozen,44,45,5,0,2026-06-08T15:52:01.226140,1,0.3072
EVT361704,P011,S01,bakery,33,35,3,0,2026-06-08T15:52:01.226144,0,0.284
EVT670873,P002,S02,bakery,0,35,11,0,2026-06-08T15:52:01.226147,1,0.8639
EVT156640,P015,S02,snacks,11,50,6,1,2026-06-08T15:52:01.226150,0,0.4677
EVT730675,P015,S02,bakery,11,35,13,0,2026-06-08T15:52:01.226153,1,0.7613
EVT957564,P017,S03,bakery,1,35,11,0,2026-06-08T15:52:01.226155,1,0.851
EVT416439,P020,S02,household,9,30,8,1,2026-06-08T15:52:01.226158,1,0.4706
EVT375241,P013,S03,bakery,14,35,10,0,2026-06-08T15:52:01.226161,0,0.6644
EVT897896,P006,S04,bakery,34,35,1,0,2026-06-08T15:52:01.226164,0,0.2323
EVT763460,P002,S02,frozen,23,45,3,0,2026-06-08T15:52:01.226166,0,0.4783
EVT878766,P018,S03,frozen,16,45,6,0,2026-06-08T15:52:01.226169,1,0.6067
EVT107084,P013,S02,snacks,5,50,7,1,2026-06-08T15:52:01.226172,1,0.5411
EVT734301,P013,S04,bakery,4,35,12,0,2026-06-08T15:52:01.226175,1,0.8319
EVT305922,P015,S04,bakery,9,35,7,1,2026-06-08T15:52:01.226177,1,0.4704
EVT366381,P014,S01,dairy,6,40,12,0,2026-06-08T15:52:01.226180,1,0.8158
EVT131068,P015,S02,frozen,22,45,6,0,2026-06-08T15:52:01.226183,0,0.5467
EVT485849,P013,S02,dairy,0,40,17,0,2026-06-08T15:52:01.226186,0,0.95
EVT724077,P013,S03,household,8,30,12,0,2026-06-08T15:52:01.226188,1,0.7633
EVT413374,P008,S01,dairy,2,40,6,1,2026-06-08T15:52:01.226191,1,0.5442
EVT878880,P006,S01,frozen,8,45,5,0,2026-06-08T15:52:01.226194,1,0.6672
EVT917214,P011,S01,snacks,48,50,4,0,2026-06-08T15:52:01.226196,1,0.2958
EVT531902,P019,S04,dairy,9,40,5,0,2026-06-08T15:52:01.226199,1,0.646
EVT365686,P008,S02,snacks,22,50,12,0,2026-06-08T15:52:01.226202,1,0.6853
EVT585978,P013,S03,bakery,27,35,3,0,2026-06-08T15:52:01.226204,1,0.3612
EVT610304,P013,S04,household,24,30,6,0,2026-06-08T15:52:01.226207,0,0.4067
EVT250508,P018,S03,dairy,8,40,17,0,2026-06-08T15:52:01.226209,1,0.8906
EVT781977,P001,S02,frozen,14,45,15,0,2026-06-08T15:52:01.226213,0,0.8017
EVT400722,P012,S04,dairy,10,40,13,1,2026-06-08T15:52:01.226215,0,0.5903
EVT247262,P016,S03,household,11,30,14,1,2026-06-08T15:52:01.226218,1,0.5572
EVT494795,P002,S01,snacks,50,50,3,0,2026-06-08T15:52:01.226220,0,0.2583
EVT579615,P004,S01,household,12,30,9,1,2026-06-08T15:52:01.226223,0,0.445
EVT457174,P015,S02,dairy,24,40,0,0,2026-06-08T15:52:01.226225,0,0.38
EVT835380,P016,S01,beverages,22,60,10,0,2026-06-08T15:52:01.226228,1,0.6794
EVT702584,P004,S04,dairy,17,40,7,1,2026-06-08T15:52:01.226231,0,0.3949
EVT559158,P010,S02,beverages,16,60,16,0,2026-06-08T15:52:01.226234,1,0.8411
EVT508050,P001,S02,bakery,31,35,6,0,2026-06-08T15:52:01.226237,1,0.3681
EVT956347,P004,S04,snacks,4,50,3,0,2026-06-08T15:52:01.226239,1,0.6723
EVT157980,P001,S02,dairy,20,40,0,1,2026-06-08T15:52:01.226242,0,0.225
EVT761270,P002,S04,snacks,15,50,13,0,2026-06-08T15:52:01.226245,1,0.7678
EVT660573,P017,S02,household,18,30,1,0,2026-06-08T15:52:01.226248,0,0.3994
EVT348889,P007,S04,dairy,20,40,1,0,2026-06-08T15:52:01.226251,0,0.4444
EVT241639,P008,S03,dairy,8,40,1,0,2026-06-08T15:52:01.226253,1,0.5794
EVT100467,P010,S03,beverages,2,60,6,1,2026-06-08T15:52:01.226256,0,0.5517
