received_at,event_id,product_id,store_id,category,current_stock,shelf_capacity,sales_last_10min,replenishment_pending,timestamp,stockout_probability,alert_source,alert_reason
2026-06-08T15:55:27,EVT841161,P003,S04,beverages,6,60,14,1,2026-06-08T15:55:27.251728,0.7783,ml_model,High stock-out probability
2026-06-08T15:55:28,EVT739958,P019,S02,frozen,17,45,16,0,2026-06-08T15:55:28.256554,0.7656,ml_model,High stock-out probability
2026-06-08T15:55:28,EVT703158,P013,S02,bakery,6,35,17,0,2026-06-08T15:55:28.760238,0.865,ml_model,High stock-out probability
2026-06-08T15:55:29,EVT879571,P009,S03,frozen,2,45,12,0,2026-06-08T15:55:29.261828,0.827,ml_model,High stock-out probability
2026-06-08T15:55:30,EVT898727,P019,S04,bakery,0,35,13,0,2026-06-08T15:55:30.766935,0.8674,ml_model,High stock-out probability
2026-06-08T15:55:32,EVT572598,P003,S04,dairy,3,40,10,0,2026-06-08T15:55:32.277743,0.8168,ml_model,High stock-out probability
2026-06-08T15:55:32,EVT250134,P020,S01,beverages,0,60,5,0,2026-06-08T15:55:32.781443,0.7509,ml_model,High stock-out probability
2026-06-08T15:55:33,EVT853210,P011,S04,dairy,2,40,14,1,2026-06-08T15:55:33.788484,0.7832,ml_model,High stock-out probability
2026-06-08T15:55:40,EVT137545,P009,S01,bakery,2,35,17,0,2026-06-08T15:55:40.837714,0.8875,ml_model,High stock-out probability
2026-06-08T15:55:41,EVT170892,P006,S03,dairy,7,40,16,0,2026-06-08T15:55:41.842060,0.8681,ml_model,High stock-out probability
2026-06-08T15:55:42,EVT657427,P012,S04,beverages,5,60,15,0,2026-06-08T15:55:42.848950,0.8921,ml_model,High stock-out probability
2026-06-08T15:55:45,EVT606030,P001,S02,snacks,3,50,14,0,2026-06-08T15:55:45.364600,0.86,ml_model,High stock-out probability
2026-06-08T15:55:46,EVT491144,P001,S03,frozen,0,45,16,0,2026-06-08T15:55:46.870512,0.8735,ml_model,High stock-out probability
2026-06-08T15:55:55,EVT633732,P012,S02,household,10,30,15,0,2026-06-08T15:55:55.944140,0.7704,ml_model,High stock-out probability
